YEAR,SP,SPEC,CONF,COMMONNAME,SCINAME,SPEC6,CONF6
2017,,AISP,,Ainley's Storm-Petrel,Oceanodroma cheimomnestes,OCECHE,
2018,,AISP,,Ainley's Storm-Petrel,Oceanodroma cheimomnestes,OCECHE,
2019,,AISP,,Ainley's Storm-Petrel,Hydrobates cheimomnestes,HYDCHE,
2020,,AISP,,Ainley's Storm-Petrel,Hydrobates cheimomnestes,HYDCHE,
1998,+,AKEK,,Akekee,Loxops caeruleirostris,,*
2000,+,AKEK,,Akekee,Loxops caeruleirostris,Loxcae,*
2002,,AKEK,,Akekee,Loxops caeruleirostris,Loxcae,
2004,,AKEK,,Akekee,Loxops caeruleirostris,LOXCAE,
2006,,AKEK,,Akekee,Loxops caeruleirostris,LOXCAE,
2008,,AKEK,,Akekee,Loxops caeruleirostris,LOXCAE,
2009,,AKEK,,Akekee,Loxops caeruleirostris,LOXCAE,
2010,,AKEK,,Akekee,Loxops caeruleirostris,LOXCAE,
2011,,AKEK,,Akekee,Loxops caeruleirostris,LOXCAE,
2012,,AKEK,,Akekee,Loxops caeruleirostris,LOXCAE,
2013,,AKEK,,Akekee,Loxops caeruleirostris,LOXCAE,
2014,,AKEK,,Akekee,Loxops caeruleirostris,LOXCAE,
2015,,AKEK,,Akekee,Loxops caeruleirostris,LOXCAE,
2016,,AKEK,,Akekee,Loxops caeruleirostris,LOXCAE,
2017,,AKEK,,Akekee,Loxops caeruleirostris,LOXCAE,
2018,,AKEK,,Akekee,Loxops caeruleirostris,LOXCAE,
2019,,AKEK,,Akekee,Loxops caeruleirostris,LOXCAE,
2020,,AKEK,,Akekee,Loxops caeruleirostris,LOXCAE,
1998,+,AKEP,,Akepa,Loxops coccineus,,*
2000,+,AKEP,,Akepa,Loxops coccineus,Loxcoc,*
2002,,AKEP,,Akepa,Loxops coccineus,Loxcoc,
2004,,AKEP,,Akepa,Loxops coccineus,LOXCOC,
2006,,AKEP,,Akepa,Loxops coccineus,LOXCOC,
2008,,AKEP,,Akepa,Loxops coccineus,LOXCOC,
2009,,AKEP,,Akepa,Loxops coccineus,LOXCOC,
2010,,AKEP,,Akepa,Loxops coccineus,LOXCOC,
2011,,AKEP,,Akepa,Loxops coccineus,LOXCOC,
2012,,AKEP,,Akepa,Loxops coccineus,LOXCOC,
2013,,AKEP,,Akepa,Loxops coccineus,LOXCOC,
2014,,AKEP,,Akepa,Loxops coccineus,LOXCOC,
