YEAR,SP,SPEC,CONF,COMMONNAME,SCINAME,SPEC6,CONF6
2017,,MGWA,,MacGillivray's Warbler,Geothlypis tolmiei,GEOTOL,
2018,,MGWA,,MacGillivray's Warbler,Geothlypis tolmiei,GEOTOL,
2019,,MGWA,,MacGillivray's Warbler,Geothlypis tolmiei,GEOTOL,
2020,,MGWA,,MacGillivray's Warbler,Geothlypis tolmiei,GEOTOL,
1998,+,MTWO,,Magenta-throated Woodstar,Calliphlox bryantae,,*
2000,+,MTWO,,Magenta-throated Woodstar,Calliphlox bryantae,Calbry,*
2002,,MTWO,,Magenta-throated Woodstar,Calliphlox bryantae,Calbry,
2004,,MTWO,,Magenta-throated Woodstar,Calliphlox bryantae,CALBRY,
2006,,MTWO,,Magenta-throated Woodstar,Calliphlox bryantae,CALBRY,
2008,,MTWO,,Magenta-throated Woodstar,Calliphlox bryantae,CALBRY,
2009,,MTWO,,Magenta-throated Woodstar,Calliphlox bryantae,CALBRY,
2010,,MTWO,,Magenta-throated Woodstar,Calliphlox bryantae,CALBRY,
2011,,MTWO,,Magenta-throated Woodstar,Calliphlox bryantae,CALBRY,
2012,,MTWO,,Magenta-throated Woodstar,Calliphlox bryantae,CALBRY,
2013,,MTWO,,Magenta-throated Woodstar,Calliphlox bryantae,CALBRY,
2014,,MTWO,,Magenta-throated Woodstar,Calliphlox bryantae,CALBRY,
2015,,MTWO,,Magenta-throated Woodstar,Calliphlox bryantae,CALBRY,
2016,,MTWO,,Magenta-throated Woodstar,Calliphlox bryantae,CALBRY,
2017,,MTWO,,Magenta-throated Woodstar,Calliphlox bryantae,CALBRY,
2018,,MTWO,,Magenta-throated Woodstar,Calliphlox bryantae,CALBRY,
2019,,MTWO,,Magenta-throated Woodstar,Calliphlox bryantae,CALBRY,
2020,,MTWO,,Magenta-throated Woodstar,Calliphlox bryantae,CALBRY,
1998,+,MAFR,,Magnificent Frigatebird,Fregata magnificens,,*
2000,+,MAFR,,Magnificent Frigatebird,Fregata magnificens,Fremag,*
2002,,MAFR,,Magnificent Frigatebird,Fregata magnificens,Fremag,
2004,,MAFR,,Magnificent Frigatebird,Fregata magnificens,FREMAG,
2006,,MAFR,,Magnificent Frigatebird,Fregata magnificens,FREMAG,
2008,,MAFR,,Magnificent Frigatebird,Fregata magnificens,FREMAG,
2009,,MAFR,,Magnificent Frigatebird,Fregata magnificens,FREMAG,
2010,,MAFR,,Magnificent Frigatebird,Fregata magnificens,FREMAG,
2011,,MAFR,,Magnificent Frigatebird,Fregata magnificens,FREMAG,
2012,,MAFR,,Magnificent Frigatebird,Fregata magnificens,FREMAG,
2013,,MAFR,,Magnificent Frigatebird,Fregata magnificens,FREMAG,
2014,,MAFR,,Magnificent Frigatebird,Fregata magnificens,FREMAG,
2015,,MAFR,,Magnificent Frigatebird,Fregata magnificens,FREMAG,
2016,,MAFR,,Magnificent Frigatebird,Fregata magnificens,FREMAG,
2017,,MAFR,,Magnificent Frigatebird,Fregata magnificens,FREMAG,
2018,,MAFR,,Magnificent Frigatebird,Fregata magnificens,FREMAG,
2019,,MAFR,,Magnificent Frigatebird,Fregata magnificens,FREMAG,
2020,,MAFR,,Magnificent Frigatebird,Fregata magnificens,FREMAG,
1998,+,MAHU,,Magnificent Hummingbird,Eugenes fulgens,,*
2000,+,MAHU,,Magnificent Hummingbird,Eugenes fulgens,Eugful,*
2002,,MAHU,,Magnificent Hummingbird,Eugenes fulgens,Eugful,
2004,,MAHU,,Magnificent Hummingbird,Eugenes fulgens,EUGFUL,
2006,,MAHU,,Magnificent Hummingbird,Eugenes fulgens,EUGFUL,
2008,,MAHU,,Magnificent Hummingbird,Eugenes fulgens,EUGFUL,
2009,,MAHU,,Magnificent Hummingbird,Eugenes fulgens,EUGFUL,
2010,,MAHU,,Magnificent Hummingbird,Eugenes fulgens,EUGFUL,
2011,,MAHU,,Magnificent Hummingbird,Eugenes fulgens,EUGFUL,
2012,,MAHU,,Magnificent Hummingbird,Eugenes fulgens,EUGFUL,
2013,,MAHU,,Magnificent Hummingbird,Eugenes fulgens,EUGFUL,
2014,,MAHU,,Magnificent Hummingbird,Eugenes fulgens,EUGFUL,
2015,,MAHU,,Magnificent Hummingbird,Eugenes fulgens,EUGFUL,
2016,,MAHU,,Magnificent Hummingbird,Eugenes fulgens,EUGFUL,
1998,+,MAWA,,Magnolia Warbler,Dendroica magnolia,,*
2000,+,MAWA,,Magnolia Warbler,Dendroica magnolia,Denmag,*
2002,,MAWA,,Magnolia Warbler,Dendroica magnolia,Denmag,
2004,,MAWA,,Magnolia Warbler,Dendroica magnolia,DENMAG,
2006,,MAWA,,Magnolia Warbler,Dendroica magnolia,DENMAG,
2008,,MAWA,,Magnolia Warbler,Dendroica magnolia,DENMAG,
2009,,MAWA,,Magnolia Warbler,Dendroica magnolia,DENMAG,
2010,,MAWA,,Magnolia Warbler,Dendroica magnolia,DENMAG,
2011,,MAWA,,Magnolia Warbler,Setophaga magnolia,SETMAG,
2012,,MAWA,,Magnolia Warbler,Setophaga magnolia,SETMAG,
2013,,MAWA,,Magnolia Warbler,Setophaga magnolia,SETMAG,
2014,,MAWA,,Magnolia Warbler,Setophaga magnolia,SETMAG,
2015,,MAWA,,Magnolia Warbler,Setophaga magnolia,SETMAG,
2016,,MAWA,,Magnolia Warbler,Setophaga magnolia,SETMAG,
2017,,MAWA,,Magnolia Warbler,Setophaga magnolia,SETMAG,
2018,,MAWA,,Magnolia Warbler,Setophaga magnolia,SETMAG,
2019,,MAWA,,Magnolia Warbler,Setophaga magnolia,SETMAG,
2020,,MAWA,,Magnolia Warbler,Setophaga magnolia,SETMAG,
2014,,MAST,,Maguari Stork,Ciconia maguari,JCICMA,
2015,,MAST,,Maguari Stork,Ciconia maguari,JCICMA,
2016,,MAST,,Maguari Stork,Ciconia maguari,JCICMA,
2017,,MAST,,Maguari Stork,Ciconia maguari,JCICMA,
2018,,MAST,,Maguari Stork,Ciconia maguari,JCICMA,
2019,,MAST,,Maguari Stork,Ciconia maguari,JCICMA,
2020,,MAST,,Maguari Stork,Ciconia maguari,JCICMA,
1998,+,MALL,,Mallard,Anas platyrhynchos,,*
2000,+,MALL,,Mallard,Anas platyrhynchos,Anapla,*
2002,,MALL,,Mallard,Anas platyrhynchos,Anapla,
2004,,MALL,,Mallard,Anas platyrhynchos,ANAPLA,
2006,,MALL,,Mallard,Anas platyrhynchos,ANAPLA,
2008,,MALL,,Mallard,Anas platyrhynchos,ANAPLA,
2009,,MALL,,Mallard,Anas platyrhynchos,ANAPLA,
2010,,MALL,,Mallard,Anas platyrhynchos,ANAPLA,
2011,,MALL,,Mallard,Anas platyrhynchos,ANAPLA,
2012,,MALL,,Mallard,Anas platyrhynchos,ANAPLA,
2013,,MALL,,Mallard,Anas platyrhynchos,ANAPLA,
2014,,MALL,,Mallard,Anas platyrhynchos,ANAPLA,
2015,,MALL,,Mallard,Anas platyrhynchos,ANAPLA,
2016,,MALL,,Mallard,Anas platyrhynchos,ANAPLA,
2017,,MALL,,Mallard,Anas platyrhynchos,ANAPLA,
2018,,MALL,,Mallard,Anas platyrhynchos,ANAPLA,
2019,,MALL,,Mallard,Anas platyrhynchos,ANAPLA,
2020,,MALL,,Mallard,Anas platyrhynchos,ANAPLA,
1998,+,MBDH,,Mallard x Black Duck Hybrid,Anas rubripes x platy.,,*
1998,+,MABH,,Mangrove Black-Hawk,Buteogallus subtilis,,*
2000,+,MABH,,Mangrove Black-Hawk,Buteogallus subtilis,Butsub,*
2002,,MABH,,Mangrove Black-Hawk,Buteogallus subtilis,Butsub,
2004,,MABH,,Mangrove Black-Hawk,Buteogallus subtilis,BUTSUB,
2006,,MABH,,Mangrove Black-Hawk,Buteogallus subtilis,BUTSUB,
1998,+,MACU,,Mangrove Cuckoo,Coccyzus minor,,*
2000,+,MACU,,Mangrove Cuckoo,Coccyzus minor,Cocmin,*
2002,,MACU,,Mangrove Cuckoo,Coccyzus minor,Cocmin,
2004,,MACU,,Mangrove Cuckoo,Coccyzus minor,COCMIN,
2006,,MACU,,Mangrove Cuckoo,Coccyzus minor,COCMIR,*
2008,,MACU,,Mangrove Cuckoo,Coccyzus minor,COCMIR,*
2009,,MACU,,Mangrove Cuckoo,Coccyzus minor,COCMIR,*
2010,,MACU,,Mangrove Cuckoo,Coccyzus minor,COCMIR,*
2011,,MACU,,Mangrove Cuckoo,Coccyzus minor,COCMIR,*
2012,,MACU,,Mangrove Cuckoo,Coccyzus minor,COCMIR,*
2013,,MACU,,Mangrove Cuckoo,Coccyzus minor,COCMIR,*
2014,,MACU,,Mangrove Cuckoo,Coccyzus minor,COCMIR,*
2015,,MACU,,Mangrove Cuckoo,Coccyzus minor,COCMIR,*
2016,,MACU,,Mangrove Cuckoo,Coccyzus minor,COCMIR,*
2017,,MACU,,Mangrove Cuckoo,Coccyzus minor,COCMIR,*
2018,,MACU,,Mangrove Cuckoo,Coccyzus minor,COCMIR,*
2019,,MACU,,Mangrove Cuckoo,Coccyzus minor,COCMIR,*
2020,,MACU,,Mangrove Cuckoo,Coccyzus minor,COCMIR,*
1998,+,MANH,*,Mangrove Hummingbird,Amazilia boucardi,,*
2000,+,MANH,*,Mangrove Hummingbird,Amazilia boucardi,Amabou,*
2002,,MANH,*,Mangrove Hummingbird,Amazilia boucardi,Amabou,
2004,,MANH,*,Mangrove Hummingbird,Amazilia boucardi,AMABOU,
2006,,MANH,*,Mangrove Hummingbird,Amazilia boucardi,AMABOU,
2008,,MANH,*,Mangrove Hummingbird,Amazilia boucardi,AMABOU,
2009,,MANH,*,Mangrove Hummingbird,Amazilia boucardi,AMABOU,
2010,,MANH,*,Mangrove Hummingbird,Amazilia boucardi,AMABOU,
2011,,MANH,*,Mangrove Hummingbird,Amazilia boucardi,AMABOU,
2012,,MANH,*,Mangrove Hummingbird,Amazilia boucardi,AMABOU,
2013,,MANH,*,Mangrove Hummingbird,Amazilia boucardi,AMABOU,
2014,,MANH,*,Mangrove Hummingbird,Amazilia boucardi,AMABOU,
2015,,MANH,*,Mangrove Hummingbird,Amazilia boucardi,AMABOU,
2016,,MANH,*,Mangrove Hummingbird,Amazilia boucardi,AMABOU,
2017,,MAHU,,Mangrove Hummingbird,Amazilia boucardi,AMABOU,
2018,,MAHU,,Mangrove Hummingbird,Amazilia boucardi,AMABOU,
2019,,MAHU,,Mangrove Hummingbird,Amazilia boucardi,AMABOU,
2020,,MAHU,,Mangrove Hummingbird,Amazilia boucardi,AMABOU,
2017,,MARA,,Mangrove Rail,Rallus longirostris,RALLON,
2018,,MARA,,Mangrove Rail,Rallus longirostris,RALLON,
2019,,MARA,,Mangrove Rail,Rallus longirostris,RALLON,
2020,,MARA,,Mangrove Rail,Rallus longirostris,RALLON,
1998,+,MASW,,Mangrove Swallow,Tachycineta albilinea,,*
2000,+,MASW,,Mangrove Swallow,Tachycineta albilinea,Tacalb,*
2002,,MANS,*,Mangrove Swallow,Tachycineta albilinea,Tacalb,
2004,,MANS,*,Mangrove Swallow,Tachycineta albilinea,TACALB,
2006,,MANS,*,Mangrove Swallow,Tachycineta albilinea,TACALB,
2008,,MANS,*,Mangrove Swallow,Tachycineta albilinea,TACALB,
2009,,MANS,*,Mangrove Swallow,Tachycineta albilinea,TACALB,
2010,,MANS,*,Mangrove Swallow,Tachycineta albilinea,TACALB,
2011,,MANS,*,Mangrove Swallow,Tachycineta albilinea,TACALB,
2012,,MANS,*,Mangrove Swallow,Tachycineta albilinea,TACALB,
2013,,MANS,*,Mangrove Swallow,Tachycineta albilinea,TACALB,
2014,,MANS,*,Mangrove Swallow,Tachycineta albilinea,TACALB,
2015,,MANS,*,Mangrove Swallow,Tachycineta albilinea,TACALB,
2016,,MANS,*,Mangrove Swallow,Tachycineta albilinea,TACALB,
2017,,MANS,*,Mangrove Swallow,Tachycineta albilinea,TACALB,
2018,,MANS,*,Mangrove Swallow,Tachycineta albilinea,TACALB,
2019,,MANS,*,Mangrove Swallow,Tachycineta albilinea,TACALB,
2020,,MANS,*,Mangrove Swallow,Tachycineta albilinea,TACALB,
1998,+,MAVI,,Mangrove Vireo,Vireo pallens,,*
2000,+,MAVI,,Mangrove Vireo,Vireo pallens,Virpal,*
2002,,MAVI,,Mangrove Vireo,Vireo pallens,Virpal,
2004,,MAVI,,Mangrove Vireo,Vireo pallens,VIRPAL,
2006,,MAVI,,Mangrove Vireo,Vireo pallens,VIRPAL
2008,,MAVI,,Mangrove Vireo,Vireo pallens,VIRPAL
2009,,MAVI,,Mangrove Vireo,Vireo pallens,VIRPAL
2010,,MAVI,,Mangrove Vireo,Vireo pallens,VIRPAL
2011,,MAVI,,Mangrove Vireo,Vireo pallens,VIRPAL
2012,,MAVI,,Mangrove Vireo,Vireo pallens,VIRPAL
2013,,MAVI,,Mangrove Vireo,Vireo pallens,VIRPAL
2014,,MAVI,,Mangrove Vireo,Vireo pallens,VIRPAL
2015,,MAVI,,Mangrove Vireo,Vireo pallens,VIRPAL
2016,,MAVI,,Mangrove Vireo,Vireo pallens,VIRPAL
2017,,MAVI,,Mangrove Vireo,Vireo pallens,VIRPAL
2018,,MAVI,,Mangrove Vireo,Vireo pallens,VIRPAL
2019,,MAVI,,Mangrove Vireo,Vireo pallens,VIRPAL
2020,,MAVI,,Mangrove Vireo,Vireo pallens,VIRPAL
2008,+,MANW,*,Mangrove Warbler,Dendoica p. erithachorides,DENPER
2009,+,MANW,*,Mangrove Warbler,Dendroica p. erithachorides,DENPER
2010,+,MANW,*,Mangrove Warbler,Dendroica p. erithachorides,DENPER,
2011,+,MANW,*,Mangrove Warbler,Setophaga p. erithachorides,SETPER,
2012,+,MANW,*,Mangrove Warbler,Setophaga petechia erithachorides,SETPER,
2013,+,MANW,*,Mangrove Warbler,Setophaga petechia erithachorides,SETPER,
2014,+,MANW,*,Mangrove Warbler,Setophaga petechia erithachorides,SETPER,
2015,+,MANW,*,Mangrove Warbler,Setophaga petechia erithachorides,SETPER,
2016,+,MANW,*,Mangrove Warbler,Setophaga petechia erithachorides,SETPER,
2017,+,MANW,*,Mangrove Warbler,Setophaga petechia erithachorides,SETPER,
2018,+,MANW,*,Mangrove Warbler,Setophaga petechia erithachorides,SETPER,
2019,+,MANW,*,Mangrove Warbler,Setophaga petechia erithachorides,SETPER,
2020,+,MANW,*,Mangrove Warbler,Setophaga petechia erithachorides,SETPER,
1998,+,MASH,,Manx Shearwater,Puffinus puffinus,,*
2000,+,MASH,,Manx Shearwater,Puffinus puffinus,Pufpuf,*
2002,,MASH,,Manx Shearwater,Puffinus puffinus,Pufpuf,
2004,,MASH,,Manx Shearwater,Puffinus puffinus,PUFPUF,
2006,,MASH,,Manx Shearwater,Puffinus puffinus,PUFPUF,
2008,,MASH,,Manx Shearwater,Puffinus puffinus,PUFPUF,
2009,,MASH,,Manx Shearwater,Puffinus puffinus,PUFPUF,
2010,,MASH,,Manx Shearwater,Puffinus puffinus,PUFPUF,
2011,,MASH,,Manx Shearwater,Puffinus puffinus,PUFPUF,
2012,,MASH,,Manx Shearwater,Puffinus puffinus,PUFPUF,
2013,,MASH,,Manx Shearwater,Puffinus puffinus,PUFPUF,
2014,,MASH,,Manx Shearwater,Puffinus puffinus,PUFPUF,
2015,,MASH,,Manx Shearwater,Puffinus puffinus,PUFPUF,
2016,,MASH,,Manx Shearwater,Puffinus puffinus,PUFPUF,
2017,,MASH,,Manx Shearwater,Puffinus puffinus,PUFPUF,
2018,,MASH,,Manx Shearwater,Puffinus puffinus,PUFPUF,
2019,,MASH,,Manx Shearwater,Puffinus puffinus,PUFPUF,
2020,,MASH,,Manx Shearwater,Puffinus puffinus,PUFPUF,
1998,+,MAGO,,Marbled Godwit,Limosa fedoa,,*
2000,+,MAGO,,Marbled Godwit,Limosa fedoa,Limfed,*
2002,,MAGO,,Marbled Godwit,Limosa fedoa,Limfed,
2004,,MAGO,,Marbled Godwit,Limosa fedoa,LIMFED,
2006,,MAGO,,Marbled Godwit,Limosa fedoa,LIMFED,
2008,,MAGO,,Marbled Godwit,Limosa fedoa,LIMFED,
2009,,MAGO,,Marbled Godwit,Limosa fedoa,LIMFED,
2010,,MAGO,,Marbled Godwit,Limosa fedoa,LIMFED,
2011,,MAGO,,Marbled Godwit,Limosa fedoa,LIMFED,
2012,,MAGO,,Marbled Godwit,Limosa fedoa,LIMFED,
2013,,MAGO,,Marbled Godwit,Limosa fedoa,LIMFED,
2014,,MAGO,,Marbled Godwit,Limosa fedoa,LIMFED,
2015,,MAGO,,Marbled Godwit,Limosa fedoa,LIMFED,
2016,,MAGO,,Marbled Godwit,Limosa fedoa,LIMFED,
2017,,MAGO,,Marbled Godwit,Limosa fedoa,LIMFED,
2018,,MAGO,,Marbled Godwit,Limosa fedoa,LIMFED,
2019,,MAGO,,Marbled Godwit,Limosa fedoa,LIMFED,
2020,,MAGO,,Marbled Godwit,Limosa fedoa,LIMFED,
1998,+,MAMU,,Marbled Murrelet,Brachyramphus marmoratus,,*
2000,+,MAMU,,Marbled Murrelet,Brachyramphus marmoratus,Bramar,*
2002,,MAMU,,Marbled Murrelet,Brachyramphus marmoratus,Bramar,
2004,,MAMU,,Marbled Murrelet,Brachyramphus marmoratus,BRAMAR,
2006,,MAMU,,Marbled Murrelet,Brachyramphus marmoratus,BRAMAR,
2008,,MAMU,,Marbled Murrelet,Brachyramphus marmoratus,BRAMAR,
2009,,MAMU,,Marbled Murrelet,Brachyramphus marmoratus,BRAMAR,
2010,,MAMU,,Marbled Murrelet,Brachyramphus marmoratus,BRAMAR,
2011,,MAMU,,Marbled Murrelet,Brachyramphus marmoratus,BRAMAR,
2012,,MAMU,,Marbled Murrelet,Brachyramphus marmoratus,BRAMAR,
2013,,MAMU,,Marbled Murrelet,Brachyramphus marmoratus,BRAMAR,
2014,,MAMU,,Marbled Murrelet,Brachyramphus marmoratus,BRAMAR,
2015,,MAMU,,Marbled Murrelet,Brachyramphus marmoratus,BRAMAR,
2016,,MAMU,,Marbled Murrelet,Brachyramphus marmoratus,BRAMAR,
2017,,MAMU,,Marbled Murrelet,Brachyramphus marmoratus,BRAMAR,
2018,,MAMU,,Marbled Murrelet,Brachyramphus marmoratus,BRAMAR,
2019,,MAMU,,Marbled Murrelet,Brachyramphus marmoratus,BRAMAR,
2020,,MAMU,,Marbled Murrelet,Brachyramphus marmoratus,BRAMAR,
1998,+,MAWQ,,Marbled Wood-Quail,Odontophorus gujanensis,,*
2000,+,MAWQ,,Marbled Wood-Quail,Odontophorus gujanensis,Odoguj,*
2002,,MAWQ,,Marbled Wood-Quail,Odontophorus gujanensis,Odoguj,
2004,,MAWQ,,Marbled Wood-Quail,Odontophorus gujanensis,ODOGUJ,
2006,,MAWQ,,Marbled Wood-Quail,Odontophorus gujanensis,ODOGUJ,
2008,,MAWQ,,Marbled Wood-Quail,Odontophorus gujanensis,ODOGUJ,
2009,,MAWQ,,Marbled Wood-Quail,Odontophorus gujanensis,ODOGUJ,
2010,,MAWQ,,Marbled Wood-Quail,Odontophorus gujanensis,ODOGUJ,
2011,,MAWQ,,Marbled Wood-Quail,Odontophorus gujanensis,ODOGUJ,
2012,,MAWQ,,Marbled Wood-Quail,Odontophorus gujanensis,ODOGUJ,
2013,,MAWQ,,Marbled Wood-Quail,Odontophorus gujanensis,ODOGUJ,
2014,,MAWQ,,Marbled Wood-Quail,Odontophorus gujanensis,ODOGUJ,
2015,,MAWQ,,Marbled Wood-Quail,Odontophorus gujanensis,ODOGUJ,
2016,,MAWQ,,Marbled Wood-Quail,Odontophorus gujanensis,ODOGUJ,
2017,,MAWQ,,Marbled Wood-Quail,Odontophorus gujanensis,ODOGUJ,
2018,,MAWQ,,Marbled Wood-Quail,Odontophorus gujanensis,ODOGUJ
2019,,MAWQ,,Marbled Wood-Quail,Odontophorus gujanensis,ODOGUJ
2020,,MAWQ,,Marbled Wood-Quail,Odontophorus gujanensis,ODOGUJ
2002,,MASW,,Mariana Swiftlet,Aerodramus bartschi,Aerbar
2004,,MASW,,Mariana Swiftlet,Aerodramus bartschi,AERBAR
2006,,MASW,,Mariana Swiftlet,Aerodramus bartschi,AERBAR
2008,,MASW,,Mariana Swiftlet,Aerodramus bartschi,AERBAR
2009,,MASW,,Mariana Swiftlet,Aerodramus bartschi,AERBAR
2010,,MASW,,Mariana Swiftlet,Aerodramus bartschi,AERBAR
2011,,MASW,,Mariana Swiftlet,Aerodramus bartschi,AERBAR
2012,,MASW,,Mariana Swiftlet,Aerodramus bartschi,AERBAR
2013,,MASW,,Mariana Swiftlet,Aerodramus bartschi,AERBAR
2014,,MASW,,Mariana Swiftlet,Aerodramus bartschi,AERBAR
2015,,MASW,,Mariana Swiftlet,Aerodramus bartschi,AERBAR
2016,,MASW,,Mariana Swiftlet,Aerodramus bartschi,AERBAR
2017,,MASW,,Mariana Swiftlet,Aerodramus bartschi,AERBAR
2018,,MASW,,Mariana Swiftlet,Aerodramus bartschi,AERBAR,
2019,,MASW,,Mariana Swiftlet,Aerodramus bartschi,AERBAR,
2020,,MASW,,Mariana Swiftlet,Aerodramus bartschi,AERBAR,
1998,+,MASP,,Markham's Storm-Petrel,Oceanodroma markhami,,*
2000,+,MASP,,Markham's Storm-Petrel,Oceanodroma markhami,Ocemar,*
2002,,MASP,,Markham's Storm-Petrel,Oceanodroma markhami,Ocemar,
2004,,MASP,,Markham's Storm-Petrel,Oceanodroma markhami,OCEMAR,
2006,,MASP,,Markham's Storm-Petrel,Oceanodroma markhami,OCEMAR,
2008,,MASP,,Markham's Storm-Petrel,Oceanodroma markhami,OCEMAR,
2009,,MASP,,Markham's Storm-Petrel,Oceanodroma markhami,OCEMAR,
2010,,MASP,,Markham's Storm-Petrel,Oceanodroma markhami,OCEMAR,
2011,,MASP,,Markham's Storm-Petrel,Oceanodroma markhami,OCEMAR,
2012,,MASP,,Markham's Storm-Petrel,Oceanodroma markhami,OCEMAR,
2013,,MASP,,Markham's Storm-Petrel,Oceanodroma markhami,OCEMAR,
2014,,MASP,,Markham's Storm-Petrel,Oceanodroma markhami,OCEMAR,
2015,,MASP,,Markham's Storm-Petrel,Oceanodroma markhami,OCEMAR,
2016,,MASP,,Markham's Storm-Petrel,Oceanodroma markhami,OCEMAR,
2017,,MASP,,Markham's Storm-Petrel,Oceanodroma markhami,OCEMAR,
2018,,MASP,,Markham's Storm-Petrel,Oceanodroma markhami,OCEMAR,
2019,,MASP,,Markham's Storm-Petrel,Hydrobates markhami,HYDMAR,
2020,,MASP,,Markham's Storm-Petrel,Hydrobates markhami,HYDMAR,
2019,,MCGD,,Maroon-chested Ground Dove,Paraclaravis mondetoura,PARMOD,*
2020,,MCGD,,Maroon-chested Ground Dove,Paraclaravis mondetoura,PARMOD,*
1998,+,MCGD,,Maroon-chested Ground-Dove,Claravis mondetoura,,*
2000,+,MCGD,,Maroon-chested Ground-Dove,Claravis mondetoura,Clamon,*
2002,,MCGD,,Maroon-chested Ground-Dove,Claravis mondetoura,Clamon,
2004,,MCGD,,Maroon-chested Ground-Dove,Claravis mondetoura,CLAMON,
2006,,MCGD,,Maroon-chested Ground-Dove,Claravis mondetoura,CLAMON,
2008,,MCGD,,Maroon-chested Ground-Dove,Claravis mondetoura,CLAMON,
2009,,MCGD,,Maroon-chested Ground-Dove,Claravis mondetoura,CLAMON,
2010,,MCGD,,Maroon-chested Ground-Dove,Claravis mondetoura,CLAMON,
2011,,MCGD,,Maroon-chested Ground-Dove,Claravis mondetoura,CLAMON,
2012,,MCGD,,Maroon-chested Ground-Dove,Claravis mondetoura,CLAMON,
2013,,MCGD,,Maroon-chested Ground-Dove,Claravis mondetoura,CLAMON,
2014,,MCGD,,Maroon-chested Ground-Dove,Claravis mondetoura,CLAMON,
2015,,MCGD,,Maroon-chested Ground-Dove,Claravis mondetoura,CLAMON,
2016,,MCGD,,Maroon-chested Ground-Dove,Claravis mondetoura,CLAMON,
2017,,MCGD,,Maroon-chested Ground-Dove,Claravis mondetoura,CLAMON,
2018,,MCGD,,Maroon-chested Ground-Dove,Claravis mondetoura,CLAMON,
1998,+,MFPA,,Maroon-fronted Parrot,Rhynchopsitta terrisi,,*
2000,+,MFPA,,Maroon-fronted Parrot,Rhynchopsitta terrisi,Rhyter,*
2002,,MFPA,,Maroon-fronted Parrot,Rhynchopsitta terrisi,Rhyter,
2004,,MFPA,,Maroon-fronted Parrot,Rhynchopsitta terrisi,RHYTER,
2006,,MFPA,,Maroon-fronted Parrot,Rhynchopsitta terrisi,RHYTER,
2008,,MFPA,,Maroon-fronted Parrot,Rhynchopsitta terrisi,RHYTER,
2009,,MFPA,,Maroon-fronted Parrot,Rhynchopsitta terrisi,RHYTER,
2010,,MFPA,,Maroon-fronted Parrot,Rhynchopsitta terrisi,RHYTER,
2011,,MFPA,,Maroon-fronted Parrot,Rhynchopsitta terrisi,RHYTER,
2012,,MFPA,,Maroon-fronted Parrot,Rhynchopsitta terrisi,RHYTER,
2013,,MFPA,,Maroon-fronted Parrot,Rhynchopsitta terrisi,RHYTER,
2014,,MFPA,,Maroon-fronted Parrot,Rhynchopsitta terrisi,RHYTER,
2015,,MFPA,,Maroon-fronted Parrot,Rhynchopsitta terrisi,RHYTER,
2016,,MFPA,,Maroon-fronted Parrot,Rhynchopsitta terrisi,RHYTER,
2017,,MFPA,,Maroon-fronted Parrot,Rhynchopsitta terrisi,RHYTER,
2018,,MFPA,,Maroon-fronted Parrot,Rhynchopsitta terrisi,RHYTER,
2019,,MFPA,,Maroon-fronted Parrot,Rhynchopsitta terrisi,RHYTER,
2020,,MFPA,,Maroon-fronted Parrot,Rhynchopsitta terrisi,RHYTER,
1998,+,MASA,,Marsh Sandpiper,Tringa stagnatilis,,*
2000,+,MASA,,Marsh Sandpiper,Tringa stagnatilis,Trista,*
2002,,MASA,,Marsh Sandpiper,Tringa stagnatilis,Trista,
2004,,MASA,,Marsh Sandpiper,Tringa stagnatilis,TRISTA,
2006,,MASA,,Marsh Sandpiper,Tringa stagnatilis,TRISTA,
2008,,MASA,,Marsh Sandpiper,Tringa stagnatilis,TRISTA,
2009,,MASA,,Marsh Sandpiper,Tringa stagnatilis,TRISTA,
2010,,MASA,,Marsh Sandpiper,Tringa stagnatilis,TRISTA,
2011,,MASA,,Marsh Sandpiper,Tringa stagnatilis,TRISTA,
2012,,MASA,,Marsh Sandpiper,Tringa stagnatilis,TRISTA,
2013,,MASA,,Marsh Sandpiper,Tringa stagnatilis,TRISTA,
2014,,MASA,,Marsh Sandpiper,Tringa stagnatilis,TRISTA,
2015,,MASA,,Marsh Sandpiper,Tringa stagnatilis,TRISTA,
2016,,MASA,,Marsh Sandpiper,Tringa stagnatilis,TRISTA,
2017,,MASA,,Marsh Sandpiper,Tringa stagnatilis,TRISTA,
2018,,MASA,,Marsh Sandpiper,Tringa stagnatilis,TRISTA,
2019,,MASA,,Marsh Sandpiper,Tringa stagnatilis,TRISTA,
2020,,MASA,,Marsh Sandpiper,Tringa stagnatilis,TRISTA,
1998,+,MAWR,,Marsh Wren,Cistothorus palustris,,*
2000,+,MAWR,,Marsh Wren,Cistothorus palustris,Cispal,*
2002,,MAWR,,Marsh Wren,Cistothorus palustris,Cispal,
2004,,MAWR,,Marsh Wren,Cistothorus palustris,CISPAL,
2006,,MAWR,,Marsh Wren,Cistothorus palustris,CISPAL,
2008,,MAWR,,Marsh Wren,Cistothorus palustris,CISPAL,
2009,,MAWR,,Marsh Wren,Cistothorus palustris,CISPAL,
2010,,MAWR,,Marsh Wren,Cistothorus palustris,CISPAL,
2011,,MAWR,,Marsh Wren,Cistothorus palustris,CISPAL,
2012,,MAWR,,Marsh Wren,Cistothorus palustris,CISPAL,
2013,,MAWR,,Marsh Wren,Cistothorus palustris,CISPAL,
2014,,MAWR,,Marsh Wren,Cistothorus palustris,CISPAL,
