Species Number,Alpha Code,Common Name,Band Size,French Name,Scientific Name,T & E*,Taxonomic Order,Comments
7660,EABL,Eastern Bluebird,"1B, 1, 1A",Merlebleu de l'Est,Sialia sialis,,825,
7670,WEBL,Western Bluebird,1B,Merlebleu de l'Ouest,Sialia mexicana,,826,
7676,HYBL,Hybrid Western/Mountain Bluebird,"1B, 1A",Hybride de Merlebleu de l'Ouest et de Merlebleu azuré,,,828,Report suspected parentage as a remark (e.g. Species1 x Species2).
7680,MOBL,Mountain Bluebird,"1B, 1A",Merlebleu azuré,Sialia currucoides,,827,
7690,WRSH,White-rumped Shama,"1B, 1A, 1D",Shama à croupion blanc,Copsychus malabaricus,,819,
7700,HAEL,Hawaii Elepaio,"1, 0, 1C",Monarque d'Hawaï,Chasiempis sandwichensis,,743,
7701,OAEL,Oahu Elepaio,1,Monarque d'Oahu,Chasiempis ibidis,Y,742,
7702,KAEL,Kauai Elepaio,"1, 0",Monarque de Kauai,Chasiempis sclateri,,741,
7710,TAFL,Taiga Flycatcher,0,Gobemouche de la taïga,Ficedula albicilla,,823,
7720,DSFL,Dark-sided Flycatcher,0,Gobemouche de Sibérie,Muscicapa sibirica,,818,
7730,GSFL,Gray-streaked Flycatcher,"0, 1C, 1",Gobemouche à taches grises,Muscicapa griseisticta,,817,
7740,LAFI,Laysan Finch,"1A, 1B",Psittirostre de Laysan,Telespiza cantans,Y,1126,
7750,NIFI,Nihoa Finch,"1B, 1",Psittirostre de Nihoa,Telespiza ultima,Y,1127,
7760,OU,Ou,2,Psittirostre psittacin,Psittirostra psittacea,Y,1128,
7770,PALI,Palila,"1A, 1B",Psittirostre palila,Loxioides bailleui,Y,1129,
7810,MAPA,Maui Parrotbill,"1B, 1A",Psittirostre de Maui,Pseudonestor xanthophrys,Y,1130,
7820,HAAM,Hawaii Amakihi,"1, 1B",Amakihi familier,Chlorodrepanis virens,,1131,
7821,OAAM,Oahu Amakihi,"1, 1C, 1B",Amakihi d'Oahu,Chlorodrepanis flava,,1132,
7830,KAAM,Kauai Amakihi,"1, 1C, 1B",Amakihi de Kauai,Chlorodrepanis stejnegeri,,1133,
7840,ANIA,Anianiau,"0, 1C, 1",Anianiau de Kauai,Magumma parva,,1137,
7870,OAAK,Oahu Akialoa,"1, 0",Hémignathe à long bec,Akialoa ellisiana,Y,1134,
7880,NUKU,Nukupuu,"1C, 1",Hémignathe nukupuu,Hemignathus lucidus,Y,1135,
7890,AKIP,Akiapolaau,"1A, 1B",Hémignathe akiapolaau,Hemignathus wilsoni,Y,1136,
7900,AKIK,Akikiki,"1, 1C, 0",Grimpeur de Kauai,Oreomystis bairdi,Y,1138,
7910,HCRE,Hawaii Creeper,"1, 1C, 0",Grimpeur d'Hawaï,Loxops mana,Y,1142,
7920,MAAL,Maui Alauahio,"1C, 1",Grimpeur de Maui,Paroreomyza montana,,1141,
7930,KAKA,Kakawahie,"0, 1C, 1",Grimpeur de Molokai,Paroreomyza flammea,Y,1140,
7940,OAAL,Oahu Alauahio,"1, 1C",Grimpeur d'Oahu,Paroreomyza maculata,Y,1139,
7950,AKEP,Akepa,"0, 1",Loxopse des Hawaï,Loxops coccineus,Y,1144,
7960,AKEK,Akekee,"1, 1C",Loxopse de Kauai,Loxops caeruleirostris,Y,1143,
7980,IIWI,Iiwi,1B,Iiwi rouge,Drepanis coccinea,,1145,
8010,AKOH,Akohekohe,1A,Palmérie huppée,Palmeria dolei,Y,1146,
8020,APAP,Apapane,"1, 1C, 1B",Picchion cramoisi,Himatione sanguinea,,1147,
8040,POUL,Poo-uli,1B,Po-o-uli masqué,Melamprosops phaeosoma,Y,1148,
8041,NRBI,Northern Red Bishop,0A,Euplecte franciscain,Euplectes franciscanus,,1173,
8042,YCBI,Yellow-crowned Bishop,0A,Euplecte vorabé,Euplectes afer,,1172,
8050,RCCO,Red-cheeked Cordonbleu,"1C, 1",Cordonbleu à joues rouges,Uraeginthus bengalus,,1174,
8060,LAVW,Lavender Waxbill,0,Astrild queue-de-vinaigre,Estrilda caerulescens,,1175,
8070,ORAW,Orange-cheeked Waxbill,"0A, 0",Astrild à joues orange,Estrilda melpoda,,1176,
8080,BRWX,Black-rumped Waxbill,"0, 1C, 1",Astrild cendré,Estrilda troglodytes,,1177,
8081,COMW,Common Waxbill,"0A, 0",Astrild ondulé,Estrilda astrild,,1178,
8090,REAV,Red Avadavat,"0A, 0",Bengali rouge,Amandava amandava,,1179,
8100,AFSI,African Silverbill,"0, 0A, 1C",Capucin bec-d'argent,Euodice cantans,,1181,
8101,BRMA,Bronze Mannikin,0A,Capucin nonnette,Spermestes cucullata,,1180,
8110,SBMU,Scaly-breasted Munia,"0, 0A",Capucin damier,Lonchura punctulata,,1183,
8120,TRMU,Tricolored Munia,"0, 1C, 1",Capucin à dos marron,Lonchura malacca,,1184,
8130,JAVS,Java Sparrow,"1B, 1A",Padda de Java,Lonchura oryzivora,,1182,
8131,PTWH,Pin-tailed Whydah,"1, 0, 1B",Veuve dominicaine,Vidua macroura,,1185,
8501,KIPE,King Penguin,9,Manchot royal,Aptenodytes patagonicus,,101,
8502,EMPE,Emperor Penguin,9,Manchot empereur,Aptenodytes forsteri,,102,
8503,GEPE,Gentoo Penguin,9,Manchot papou,Pygoscelis papua,,103,
8504,ADPE,Adelie Penguin,9,Manchot d'Adélie,Pygoscelis adeliae,,104,
8505,CHPE,Chinstrap Penguin,9,Manchot à jugulaire,Pygoscelis antarcticus,,105,
8506,VIPE,Victoria Penguin,9,Gorfou du Fiordland,Eudyptes pachyrhynchus,,106,
8508,ROCP,Rockhopper Penguin,9,Gorfou sauteur,Eudyptes chrysocome,,107,
8509,ROYP,Royal Penguin,9,Gorfou de Schlegel,Eudyptes schlegeli,,108,
8510,MACP,Macaroni Penguin,9,Gorfou doré,Eudyptes chrysolophus,,109,
8512,FAPE,Fairy Penguin,9,Manchot pygmée,Eudyptula minor,,110,
8514,AFPE,African Penguin,9,Manchot du Cap,Spheniscus demersus,,111,
8515,HUPE,Humboldt Penguin,9,Manchot de Humboldt,Spheniscus humboldti,,113,
8516,MAGP,Magellanic Penguin,9,Manchot de Magellan,Spheniscus magellanicus,,112,
8517,GALP,Galapagos Penguin,9,Manchot des Galapagos,Spheniscus mendiculus,,114,
8519,ROAL,Royal Albatross,8,Albatros royal,Diomedea epomophora,,129,
8521,BUAL,Buller's Albatross,8,Albatros de Buller,Thalassarche bulleri,,120,
8522,GHAL,Gray-headed Albatross,8,Albatros à tête grise,Thalassarche chrysostoma,,119,
8523,SOAL,Sooty Albatross,8,,Phoebetria fusca,,130,
8524,LMSA,Light-mantled Albatross,8,Albatros fuligineux,Phoebetria palpebrata,,118,
8525,SGPE,Southern Giant Petrel,"8, 7D",Pétrel géant,Macronectes giganteus,,122,
8526,SOFU,Southern Fulmar,5,Fulmar argenté,Fulmarus glacialoides,,132,
8527,BLPE,Blue Petrel,3,Prion bleu,Halobaena caerulea,,136,
8528,BBPR,Broad-billed Prion,3,Prion de Forster,Pachyptila vittata,,137,
8529,DOPR,Dove Prion,3,Prion de la désolation,Pachyptila desolata,,138,
8530,TBPR,Thin-billed Prion,3,Prion de Belcher,Pachyptila belcheri,,139,
8531,FAPR,Fairy Prion,3,Prion colombe,Pachyptila turtur,,140,
8532,ANPE,Antarctic Petrel,5,Pétrel Antarctique,Thalassoica antarctica,,133,
8533,WCPE,White-chinned Petrel,"7A, 6, 5A, 5",Puffin à menton blanc,Procellaria aequinoctialis,,155,
8536,KEPE,Kerguelen Petrel,4,Pétrel de Kerguelen,Aphrodroma brevirostris,,141,
8537,SNPE,Snow Petrel,4,Pétrel des neiges,Pagodroma nivea,,135,
8538,GBSP,Gray-backed Storm-Petrel,"1B, 1A",Océanite néréide,Garrodia nereis,,174,
8541,BECO,Blue-eyed Cormorant,"8, 7D",Cormoran impérial,Leucocarbo atriceps,,205,
8543,SNSH,Snowy Sheathbill,"7A, 6",Chionis blanc,Chionis albus,,309,
8544,LESH,Lesser Sheathbill,7A,Petit Chionis,Chionis minor,,310,
8546,SBBG,Southern Black-backed Gull,"7A, 7, 7B",Goéland dominicain,Larus dominicanus,,422,
8548,ANTE,Antarctic Tern,"3, 3B",Sterne couronnée,Sterna vittata,,447,
8549,KETE,Kerguelen Tern,3,Sterne de Kerguelen,Sterna virgata,,448,
8552,HYSK,Hybrid Skua,"7B, 7A",Hybride de Labbe,,,368,Report suspected parentage as a remark (e.g. Species1 x Species2).
8553,NGPE,Northern Giant Petrel,8,Pétrel de Hall,Macronectes halli,,123,
8554,BRSK,Brown Skua,"7B, 7A",Grand labbe,Stercorarius antarcticus,,367,
8560,TIMO,Tinian Monarch,"0, 1C",Monarque de Tinian,Monarcha takatsukasae,,715,
8570,MARC,Mariana Crow,"4, 4A",Corneille de Guam,Corvus kubaryi,Y,731,
8580,GUSW,Guam Swiftlet,"0A, X",Salangane de Guam,Aerodramus bartschi,Y,535,
8590,NIRW,Nightingale Reed Warbler,"1A, 1D",Rousserolle rossignol,Acrocephalus luscinius,Y,811,
8600,MIME,Micronesian Megapode,6,Mégapode de La Pérouse,Megapodius laperouse,Y,86,
8610,WRSW,White-rumped Swiftlet,"0, 1, 1C",Salangane à croupion blanc,Aerodramus spodiopygius,,534,
8620,PCFD,Purple-capped Fruit Dove,"3A, 4",Tourterelle à collier,Ptilinopus porphyraceus,,475,
8630,COLK,Collared Kingfisher,"2, 3, 3B",Martin-chasseur à collier blanc,Todiramphus chloris,,573,
8640,SAST,Samoan Starling,"M: 3B, 3A, 4",Stourne de Samoa,Aplonis atrifusca,,872,
8640,SAST,Samoan Starling,"F: 3, 3B, 3A",Stourne de Samoa,Aplonis atrifusca,,872,
8650,POST,Polynesian Starling,"M: 2, 3",Stourne de Polynésie,Aplonis tabuensis,,871,
8650,POST,Polynesian Starling,"F: 1A, 1D, 2",Stourne de Polynésie,Aplonis tabuensis,,871,
8660,CAHO,Cardinal Honeyeater,"1, 1C, 0",Myzomèle cardinal,Myzomela cardinalis,,686,
8670,WAHO,Wattled Honeyeater,"1A, 1D, 2",Méliphage foulehaio,Foulehaio carunculatus,,687,
8680,MIHO,Micronesian Honeyeater,"1, 1B",Myzomèle de Micronésie,Myzomela rubratra,,688,
8690,RUFA,Rufous Fantail,"0A, 0",Rhipidure roux,Rhipidura rufifrons,,713,
8691,FISH,Fiji Shrikebill,"1A, 1B",Monarque des Fidji,Clytorhynchus vitiensis,,714,
8700,BRWE,Bridled White-eye,"0A, 0",Zostérops bridé,Zosterops conspicillatus,Y,815,
8710,GOWE,Golden White-eye,"1B, 1",Zostérops doré,Cleptornis marchei,,813,
8720,MIST,Micronesian Starling,"3, 2",Stourne de Micronésie,Aplonis opaca,,870,
8740,BLDR,Black Drongo,2,Drongo royal,Dicrurus macrocercus,,712,
8750,LTCU,Long-tailed Cuckoo,"3, 3B, 3A",Coucou de Nouvelle-Zélande,Eudynamys taitensis,,491,
8760,MCFD,Many-colored Fruit Dove,"3A, 3B",Ptilope de La Pérouse,Ptilinopus perousii,,474,
8770,PAPI,Pacific Pigeon,6,Carpophage Pacifique,Ducula pacifica,,477,
