Species Number,Alpha Code,Common Name,Band Size,French Name,Scientific Name,T & E*,Taxonomic Order,Comments
2190,COGA,Common Gallinule,"5A, 6, 5",Gallinule d’Amérique,Gallinula galeata,,277,
2191,HAGA,Hawaiian Gallinule,"5, 6",Gallinule d’Amérique forme d'Hawaï,Gallinula galeata sandvicensis,Y,278,
2192,MCMO,Mariana Common Moorhen,"5, 6",Gallinule poule-d'eau,Gallinula chloropus guami,Y,279,
2201,HACO,Hawaiian Coot,"6, 5A, 5",Foulque des Hawaï,Fulica alai,Y,280,
2210,AMCO,American Coot,"6, 5A, 5",Foulque d'Amérique,Fulica americana,,281,
2211,CARC,Caribbean Coot,6,Foulque à cachet blanc,Fulica caribaea,,282,
2220,REPH,Red Phalarope,1A,Phalarope à bec large,Phalaropus fulicarius,,364,
2230,RNPH,Red-necked Phalarope,1B,Phalarope à bec étroit,Phalaropus lobatus,,363,
2240,WIPH,Wilson's Phalarope,"1D, 1A, 2",Phalarope de Wilson,Phalaropus tricolor,,362,
2250,AMAV,American Avocet,"4, 4A",Avocette d'Amérique,Recurvirostra americana,,290,Band above the intertarsal joint only.
2260,BNST,Black-necked Stilt,"3A, 4, 4A",Échasse d'Amérique,Himantopus mexicanus,,288,Band above the intertarsal joint only.
2261,HAST,Hawaiian Stilt,"4, 3A, 4A",Échasse des Hawaï,Himantopus mexicanus knudseni,Y,289,Band above the intertarsal joint only.
2262,BWST,Black-winged Stilt,4,,Himantopus himantopus,,286,
2270,EUWO,Eurasian Woodcock,3,Bécasse des bois,Scolopax rusticola,,360,
2280,AMWO,American Woodcock,3,Bécasse d'Amérique,Scolopax minor,,361,
2290,COSN,Common Snipe,"3, 3B",Bécassine des marais,Gallinago gallinago,,356,"This is the Eurasian species, not Wilson's Snipe"
2300,WISN,Wilson's Snipe,"3, 3B, 3A, 2",Bécassine de Wilson,Gallinago delicata,,357,
2301,PTSN,Pin-tailed Snipe,3,Bécassine à queue pointue,Gallinago stenura,,358,
2302,SWSN,Swinhoe's Snipe,3,Bécassine de Swinhoe,Gallinago megala,,359,
2310,SBDO,Short-billed Dowitcher,"2, 2A",Bécassin roux,Limnodromus griseus,,354,
2320,LBDO,Long-billed Dowitcher,"2, 2A",Bécassin à long bec,Limnodromus scolopaceus,,355,
2330,STSA,Stilt Sandpiper,"1A, 1D",Bécasseau à échasses,Calidris himantopus,,338,
2340,REKN,Red Knot,"2, 2A",Bécasseau maubèche,Calidris canutus,British Columbia,333,
2340,REKN,Red Knot,"2, 2A",Bécasseau maubèche,Calidris canutus,Yukon Territory,333,
2340,REKN,Red Knot,"2, 2A",Bécasseau maubèche,Calidris canutus,Northwest Territories,333,
2341,RRKN,Rufa Red Knot,"2, 2A",Bécasseau maubèche,Calidris canutus rufa,Y,334,
2350,PUSA,Purple Sandpiper,"1A, 1D, 2",Bécasseau violet,Calidris maritima,,346,
2360,ROSA,Rock Sandpiper,"2, 1D",Bécasseau des Aléoutiennes,Calidris ptilocnemis,,345,
2380,SHAS,Sharp-tailed Sandpiper,"1A, 1D",Bécasseau à queue pointue,Calidris acuminata,,337,
2390,PESA,Pectoral Sandpiper,"1A, 1D, 2",Bécasseau à poitrine cendrée,Calidris melanotos,,351,
2400,WRSA,White-rumped Sandpiper,"1A, 1B",Bécasseau à croupion blanc,Calidris fuscicollis,,349,
2410,BASA,Baird's Sandpiper,"1B, 1A",Bécasseau de Baird,Calidris bairdii,,347,
2420,LESA,Least Sandpiper,"1, 1B, 1C",Bécasseau minuscule,Calidris minutilla,,348,
2422,RNST,Red-necked Stint,"1, 1B, 1C",Bécasseau à col roux,Calidris ruficollis,,342,
2423,LTST,Long-toed Stint,"1, 1B",Bécasseau à longs doigts,Calidris subminuta,,340,
2430,DUNL,Dunlin,"1A, 1B, 1D",Bécasseau variable,Calidris alpina,,344,
2440,CUSA,Curlew Sandpiper,1A,Bécasseau cocorli,Calidris ferruginea,,339,
2450,SPOS,Spoon-billed Sandpiper,1A,Bécasseau spatule,Calidris pygmea,,341,
2460,SESA,Semipalmated Sandpiper,"1B, 1",Bécasseau semipalmé,Calidris pusilla,,352,
2470,WESA,Western Sandpiper,"1B, 1",Bécasseau d'Alaska,Calidris mauri,,353,
2480,SAND,Sanderling,"1A, 1D",Bécasseau sanderling,Calidris alba,,343,
2490,MAGO,Marbled Godwit,4,Barge marbrée,Limosa fedoa,,330,
2500,BARG,Bar-tailed Godwit,M: 4,Barge rousse,Limosa lapponica,,329,
2500,BARG,Bar-tailed Godwit,F: 4A,Barge rousse,Limosa lapponica,,329,
2510,HUGO,Hudsonian Godwit,3A,Barge hudsonienne,Limosa haemastica,,328,
2520,BLAG,Black-tailed Godwit,4,Barge à queue noire,Limosa limosa,,327,
2532,CGRE,Common Greenshank,"3, 3B, 3A",Chevalier aboyeur,Tringa nebularia,,317,
2540,GRYE,Greater Yellowlegs,"3, 3B",Grand Chevalier,Tringa melanoleuca,,318,
2550,LEYE,Lesser Yellowlegs,"2, 2A",Petit Chevalier,Tringa flavipes,,320,
2560,SOSA,Solitary Sandpiper,"1A, 1D, 2",Chevalier solitaire,Tringa solitaria,,314,
2561,WOSA,Wood Sandpiper,"3, 2, 1D, 1A",Chevalier sylvain,Tringa glareola,,322,
2562,MASA,Marsh Sandpiper,"3, 2, 1D",Chevalier stagnatile,Tringa stagnatilis,,321,
2580,WILL,Willet,"4, 4A, 3A",Chevalier semipalmé,Tringa semipalmata,,319,
2590,WATA,Wandering Tattler,"3, 2, 2A",Chevalier errant,Tringa incana,,316,
2591,GTTA,Gray-tailed Tattler,"3, 2, 2A",Chevalier de Sibérie,Tringa brevipes,,315,
2600,RUFF,Ruff,"3, 2A",Combattant varié,Calidris pugnax,,336,
2610,UPSA,Upland Sandpiper,"3, 2A",Maubèche des champs,Bartramia longicauda,,323,
2620,BBSA,Buff-breasted Sandpiper,1A,Bécasseau roussâtre,Calidris subruficollis,,350,
2630,SPSA,Spotted Sandpiper,"1B, 1A",Chevalier grivelé,Actitis macularius,,313,
2631,COSA,Common Sandpiper,"1B, 1A",Chevalier guignette,Actitis hypoleucos,,312,
2640,LBCU,Long-billed Curlew,"5, 4A, 5A",Courlis à long bec,Numenius americanus,,326,Use size 6 if banding on tibiotarsus
2650,WHIM,Whimbrel,"4, 4A",Courlis corlieu,Numenius phaeopus,,324,
2680,BTCU,Bristle-thighed Curlew,"4A, 5",Courlis d'Alaska,Numenius tahitiensis,,325,
2690,NOLA,Northern Lapwing,5,Vanneau huppé,Vanellus vanellus,,293,
2691,EUDO,Eurasian Dotterel,"1B, 1A",Pluvier guignard,Charadrius morinellus,,308,
2700,BBPL,Black-bellied Plover,"3, 3B, 3A",Pluvier argenté,Pluvialis squatarola,,294,
2710,EUGP,European Golden-Plover,"2, 3",Pluvier doré,Pluvialis apricaria,,295,
2720,AMGP,American Golden-Plover,"3, 2A, 2",Pluvier bronzé,Pluvialis dominica,,296,AOU split from 2729-LEGP in 1993.
2721,PAGP,Pacific Golden-Plover,"3, 2A, 2",Pluvier fauve,Pluvialis fulva,,297,AOU split from 2729-LEGP in 1993.
2729,LEGP,Lesser Golden-Plover,"3, 2A, 2",Pluvier bronzé,,,298,"Includes Pluvialis dominica and P. fulva, prior to split in 1993."
2730,KILL,Killdeer,"2, 2A, 1D",Pluvier kildir,Charadrius vociferus,,306,
2740,SEPL,Semipalmated Plover,"1A, 1B, 1D",Pluvier semipalmé,Charadrius semipalmatus,,304,
2750,CRPL,Common Ringed Plover,"1A, 1B",Pluvier grand-gravelot,Charadrius hiaticula,,303,
2770,PIPL,Piping Plover,"1A, 1B",Pluvier siffleur,Charadrius melodus,Y,305,
2780,SNPL,Snowy Plover,1P,Pluvier neigeux,Charadrius nivosus,,300,
2781,WSPL,Western Snowy Plover,1P,,Charadrius nivosus nivosus,Y,301,"Endangered western populations (coastal CA, OR, WA)."
2790,LRSP,Lesser Sand-Plover,3,Pluvier de Mongolie,Charadrius mongolus,,299,
2800,WIPL,Wilson's Plover,"1D, 1A, 2",Pluvier de Wilson,Charadrius wilsonia,,302,
2810,MOPL,Mountain Plover,"2, 3",Pluvier montagnard,Charadrius montanus,Alberta,307,
2810,MOPL,Mountain Plover,"2, 3",Pluvier montagnard,Charadrius montanus,Saskatchewan,307,
2820,SURF,Surfbird,"2A, 3, 2",Bécasseau du ressac,Calidris virgata,,335,
2830,RUTU,Ruddy Turnstone,"2A, 2, 3",Tournepierre à collier,Arenaria interpres,,331,
2840,BLTU,Black Turnstone,"2A, 2",Tournepierre noir,Arenaria melanocephala,,332,
2860,AMOY,American Oystercatcher,"5A, 5, 6",Huîtrier d'Amérique,Haematopus palliatus,,291,
2870,BLOY,Black Oystercatcher,"5, 5A",Huîtrier de Bachman,Haematopus bachmani,,292,
2880,NOJA,Northern Jacana,3A,Jacana du Mexique,Jacana spinosa,,311,
3120,BTPI,Band-tailed Pigeon,"5, 5A",Pigeon à queue barrée,Patagioenas fasciata,,462,
3121,PLPI,Plain Pigeon,5,Pigeon simple,Patagioenas inornata,Y,460,
3122,PRPP,Puerto Rican Plain Pigeon,5,,Patagioenas inornata wetmorei,Y,461,Endangered subspecies in Puerto Rico.
3130,RBPI,Red-billed Pigeon,5,Pigeon à bec rouge,Patagioenas flavirostris,,459,
3140,WCPI,White-crowned Pigeon,"4, 4A",Pigeon à couronne blanche,Patagioenas leucocephala,,458,Require 4 or 4A short.
3141,SNPI,Scaly-naped Pigeon,5,Pigeon à cou rouge,Patagioenas squamosa,,457,
3151,SPDO,Spotted Dove,"3A, 4",Tourterelle tigrine,Streptopelia chinensis,,466,Require 4 short.
3152,AFCD,African Collared-Dove,"4, 4A",Tourterelle rieuse,Streptopelia roseogrisea,,464,
3153,ZEBD,Zebra Dove,"3, 2",Géopélie zébrée,Geopelia striata,,467,
3154,WTGD,White-throated Ground-Dove,"4, 3A",Gallicolombe pampusane,Alopecoenas xanthonurus,,472,
3155,MAFD,Mariana Fruit Dove,"3A, 3B",Ptilope des Mariannes,Ptilinopus roseicapilla,,476,
3158,PHTD,Philippine Turtle-Dove,"4, 3A",Tourterelle des Philippines,Streptopelia bitorquata,,463,
3159,ECDO,Eurasian Collared-Dove,"4A, 4",Tourterelle turque,Streptopelia decaocto,,465,Require 4 or 4A short.
3160,MODO,Mourning Dove,"3A, 3B",Tourterelle triste,Zenaida macroura,,485,
3161,EADO,Eared Dove,3A,Tourterelle oreillarde,Zenaida auriculata,,484,
3170,ZEND,Zenaida Dove,"4, 3A",Tourterelle à queue carrée,Zenaida aurita,,483,
3180,WTDO,White-tipped Dove,"3A, 4, 3B",Colombe de Verreaux,Leptotila verreauxi,,480,
3181,CADO,Caribbean Dove,3A,Colombe de la Jamaïque,Leptotila jamaicensis,,481,
3190,WWDO,White-winged Dove,"4, 3A",Tourterelle à ailes blanches,Zenaida asiatica,,482,
3200,COGD,Common Ground-Dove,"2, 1D",Colombe à queue noire,Columbina passerina,,469,
3201,RUGD,Ruddy Ground-Dove,2,Colombe rousse,Columbina talpacoti,,470,
3210,INDO,Inca Dove,"2, 3",Colombe inca,Columbina inca,,468,
3220,KWQD,Key West Quail-Dove,"3A, 4",Colombe à joues blanches,Geotrygon chrysia,,478,
3221,RUQD,Ruddy Quail-Dove,"3A, 4, 3B",Colombe rouviolette,Geotrygon montana,,471,
3222,BRQD,Bridled Quail-Dove,"3A, 4",Colombe à croissants,Geotrygon mystacea,,479,
3240,CALC,California Condor,8V,Condor de Californie,Gymnogyps californianus,Y,231,Cannot band with metal bands--request “air” bands for reporting wing-tagged birds.
3250,TUVU,Turkey Vulture,8V,Urubu à tête rouge,Cathartes aura,,230,Cannot band with metal bands--request “air” bands for reporting wing-tagged birds.
3260,BLVU,Black Vulture,8V,Urubu noir,Coragyps atratus,,229,Cannot band with metal bands--request “air” bands for reporting wing-tagged birds.
3270,STKI,Swallow-tailed Kite,6,Milan à queue fourchue,Elanoides forficatus,,234,Lock-on bands recommended.
3271,HBKI,Hook-billed Kite,"6, 7A",Milan bec-en-croc,Chondrohierax uncinatus,,233,Lock-on bands recommended.
3280,WTKI,White-tailed Kite,"6, 5",Élanion à queue blanche,Elanus leucurus,,235,Lock-on bands recommended.
3290,MIKI,Mississippi Kite,5,Milan du Mississippi,Ictinia mississippiensis,,237,Lock-on bands recommended.
3300,SNKI,Snail Kite,6,Milan des marais,Rostrhamus sociabilis,Y,236,Lock-on bands recommended.
3310,NOHA,Northern Harrier,"M: 4, 4A",Busard Saint-Martin,Circus hudsonius,,239,Lock-on bands recommended.
3310,NOHA,Northern Harrier,"F: 5, 5A, 6",Busard Saint-Martin,Circus hudsonius,,239,Lock-on bands recommended.
3320,SSHA,Sharp-shinned Hawk,"M: 2, 3",Épervier brun,Accipiter striatus,,240,
3320,SSHA,Sharp-shinned Hawk,"F: 3B, 3A, 3",Épervier brun,Accipiter striatus,,240,
3321,PSSH,Puerto Rican Sharp-shinned Hawk,"M: 2, 3",Épervier brun (venator),Accipiter striatus venator,Y,241,
3321,PSSH,Puerto Rican Sharp-shinned Hawk,"F: 3, 3B",Épervier brun (venator),Accipiter striatus venator,Y,241,
3330,COHA,Cooper's Hawk,"M: 4, 4A, 5",Épervier de Cooper,Accipiter cooperii,,242,Lock-on bands recommended.
3330,COHA,Cooper's Hawk,"F: 5, 6, 4A, 5A",Épervier de Cooper,Accipiter cooperii,,242,Lock-on bands recommended.
3340,NOGO,Northern Goshawk,"M: 6, 7A",Autour des palombes,Accipiter gentilis,British Columbia,243,Lock-on bands recommended.
3340,NOGO,Northern Goshawk,"F: 7A, 7B",Autour des palombes,Accipiter gentilis,British Columbia,243,Lock-on bands recommended.
3350,HRSH,Harris's Hawk,"7A, 7B, 6",Buse de Harris,Parabuteo unicinctus,,245,Lock-on bands recommended.
3370,RTHA,Red-tailed Hawk,"7B, 7D, 7A",Buse à queue rousse,Buteo jamaicensis,,256,Lock-on bands recommended.
3380,HRLH,Harlan's Hawk,"7B, 7A, 7D",Buse de Harlan,Buteo jamaicensis harlani,,257,Lock-on bands recommended.
3390,RSHA,Red-shouldered Hawk,"6, 5, 7A",Buse à épaulettes,Buteo lineatus,,247,Lock-on bands recommended.
3400,ZTHA,Zone-tailed Hawk,"7A, 6",Buse à queue barrée,Buteo albonotatus,,254,Lock-on bands recommended.
3410,WTHA,White-tailed Hawk,"7A, 7B",Buse à queue blanche,Geranoaetus albicaudatus,,253,Lock-on bands recommended.
3420,SWHA,Swainson's Hawk,"M: 7A, 6",Buse de Swainson,Buteo swainsoni,,252,Lock-on bands recommended.
3420,SWHA,Swainson's Hawk,"F: 7A, 7B",Buse de Swainson,Buteo swainsoni,,252,Lock-on bands recommended.
3430,BWHA,Broad-winged Hawk,"5, 6",Petite Buse,Buteo platypterus,,248,Lock-on bands recommended.
3431,ROHA,Roadside Hawk,5,Buse à gros bec,Rupornis magnirostris,,246,Lock-on bands recommended.
3432,PBWH,Puerto Rican Broad-winged Hawk,6,Petite Buse (Porto Rico),Buteo platypterus brunnescens,Y,249,Lock-on bands recommended.
3440,STHA,Short-tailed Hawk,6,Buse à queue courte,Buteo brachyurus,,251,Lock-on bands recommended.
3441,HWHA,Hawaiian Hawk,"6, 7A",Buse d'Hawaï,Buteo solitarius,Y,255,Lock-on bands recommended.
3450,CBHA,Common Black Hawk,"7A, 6",Buse noire,Buteogallus anthracinus,,244,Lock-on bands recommended.
3460,GRHA,Gray Hawk,"6, 7A",Buse cendrée,Buteo plagiatus,,250,Lock-on bands recommended.
3470,RLHA,Rough-legged Hawk,"M: 7A, 7B, 6",Buse pattue,Buteo lagopus,,259,Lock-on bands recommended.
3470,RLHA,Rough-legged Hawk,"F: 7B, 7A, 7D",Buse pattue,Buteo lagopus,,259,Lock-on bands recommended.
3480,FEHA,Ferruginous Hawk,"7D, 8, 7B, 7A",Buse rouilleuse,Buteo regalis,Alberta,258,Lock-on bands recommended.
3480,FEHA,Ferruginous Hawk,"7D, 8, 7B, 7A",Buse rouilleuse,Buteo regalis,Manitoba,258,Lock-on bands recommended.
3480,FEHA,Ferruginous Hawk,"7D, 8, 7B, 7A",Buse rouilleuse,Buteo regalis,Saskatchewan,258,Lock-on bands recommended.
3490,GOEA,Golden Eagle,"9, 9A, 9C",Aigle royal,Aquila chrysaetos,,260,Rivet bands only.
3520,BAEA,Bald Eagle,"9, 8A, 9A",Pygargue à tête blanche,Haliaeetus leucocephalus,,238,Rivet bands only.
3540,GYRF,Gyrfalcon,7B,Faucon gerfaut,Falco rusticolus,,615,Lock-on bands recommended.
3550,PRFA,Prairie Falcon,"M: 6, 7A, 5",Faucon des prairies,Falco mexicanus,,617,Lock-on bands recommended.
3550,PRFA,Prairie Falcon,"F: 7A, 7B, 6",Faucon des prairies,Falco mexicanus,,617,Lock-on bands recommended.
3560,PEFA,Peregrine Falcon,"M: 6, 7A",Faucon pèlerin,Falco peregrinus,,616,Lock-on bands recommended.
3560,PEFA,Peregrine Falcon,"F: 7A, 7B",Faucon pèlerin,Falco peregrinus,,616,Lock-on bands recommended.
3570,MERL,Merlin,"M: 3, 3B, 3A",Faucon émerillon,Falco columbarius,,613,Lock-on bands recommended.
3570,MERL,Merlin,"F: 4, 3A, 3B",Faucon émerillon,Falco columbarius,,613,Lock-on bands recommended.
3590,APFA,Aplomado Falcon,M: 4,Faucon aplomado,Falco femoralis,Y,614,Lock-on bands recommended.
3590,APFA,Aplomado Falcon,F: 5,Faucon aplomado,Falco femoralis,Y,614,Lock-on bands recommended.
3591,EUKE,Eurasian Kestrel,"3B, 4",Faucon crécerelle,Falco tinnunculus,,611,
3600,AMKE,American Kestrel,"3B, 3A, 3",Crécerelle d'Amérique,Falco sparverius,,612,
3620,CRCA,Crested Caracara,"7A, 7B",Caracara du Nord,Caracara cheriway,,609,Lock-on bands recommended.
3621,ACCA,Audubon's Crested Caracara,"7A, 7B",,Polyborus plancus audubonii,Y,610,Endangered population in Florida. Lock-on bands recommended.
3640,OSPR,Osprey,"8, 7D",Balbuzard pêcheur,Pandion haliaetus,,232,Lock-on bands recommended.
3650,BNOW,Barn Owl,"6, 7A",Effraie des clochers,Tyto alba,Ontario,495,Lock-on bands recommended.
3650,BNOW,Barn Owl,"6, 7A",Effraie des clochers,Tyto alba,Québec,495,Lock-on bands recommended.
3651,AFOW,Ashy-faced Owl,"6, 7A",Effraie d'Hispaniola,Tyto glaucops,,496,Lock-on bands recommended.
3660,LEOW,Long-eared Owl,"6, 5",Hibou moyen-duc,Asio otus,,516,Lock-on bands recommended.
3670,SEOW,Short-eared Owl,6,Hibou des marais,Asio flammeus,,517,Lock-on bands recommended.
3680,BDOW,Barred Owl,"7B, 7D",Chouette rayée,Strix varia,,514,Lock-on bands recommended.
3686,SBOH,Spotted X Barred Owl Hybrid,7B,Hybride de Chouette tachetée et Chouette rayée,,,510,Lock-on bands recommended. Strix occidentalis X S. varia.
3690,SPOW,Spotted Owl,7B,Chouette tachetée,Strix occidentalis,British Columbia,509,Lock-on bands recommended.
3691,CSOW,California Spotted Owl,"7B, 7A",Chouette tachetée (Californie),Strix occidentalis occidentalis,,511,Lock-on bands recommended.
3692,NSOW,Northern Spotted Owl,"7B, 7A",Chouette tachetée de la sous-espèce caurina,Strix occidentalis caurina,Y,512,Lock-on bands recommended.
3693,MSOW,Mexican Spotted Owl,"7B, 7A",,Strix occidentalis lucida,Y,513,Lock-on bands recommended.
3700,GGOW,Great Gray Owl,8,Chouette lapone,Strix nebulosa,,515,Lock-on bands recommended.
3710,BOOW,Boreal Owl,"5, 6",Nyctale de Tengmalm,Aegolius funereus,,518,Lock-on bands recommended.
3720,NSWO,Northern Saw-whet Owl,"4, 3A, 4A",Petite Nyctale,Aegolius acadicus,British Columbia,519,Use 4 (or 4A if needed) short.
3730,EASO,Eastern Screech-Owl,"5, 4A, 4",Petit-duc maculé,Megascops asio,,499,Lock-on bands recommended.
3731,WHSO,Whiskered Screech-Owl,"4, 3A",Petit-duc à moustaches,Megascops trichopsis,,500,Lock-on bands recommended.
3732,WESO,Western Screech-Owl,"5, 4A, 4",Petit-duc des montagnes,Megascops kennicottii,British Columbia,498,Lock-on bands recommended.
3734,PRSO,Puerto Rican Screech-Owl,"4, 4A",Petit-duc de Porto Rico,Megascops nudipes,,501,Lock-on bands recommended.
3740,FLOW,Flammulated Owl,"3, 3B, 2",Petit-duc nain,Psiloscops flammeolus,,497,
3750,GHOW,Great Horned Owl,"8, 8A, 9, 7D",Grand-duc d'Amérique,Bubo virginianus,,502,Lock-on bands recommended.
3760,SNOW,Snowy Owl,"8A, 8, 9",Harfang des neiges,Bubo scandiacus,,503,Rivet or Lock-on bands recommended.
3770,NHOW,Northern Hawk Owl,"7A, 7B",Chouette épervière,Surnia ulula,,504,Require 7A or 7B short.
3780,BUOW,Burrowing Owl,4,Chevêche des terriers,Athene cunicularia,Alberta,508,Lock-on bands recommended.
3780,BUOW,Burrowing Owl,4,Chevêche des terriers,Athene cunicularia,British Columbia,508,Lock-on bands recommended.
3780,BUOW,Burrowing Owl,4,Chevêche des terriers,Athene cunicularia,Manitoba,508,Lock-on bands recommended.
3780,BUOW,Burrowing Owl,4,Chevêche des terriers,Athene cunicularia,Saskatchewan,508,Lock-on bands recommended.
3790,NOPO,Northern Pygmy-Owl,"3, 3B, 3A, 4",Chevêchette naine,Glaucidium gnoma,,505,
3800,FEPO,Ferruginous Pygmy-Owl,"3B, 3A, 3",Chevêchette brune,Glaucidium brasilianum,Y,506,
3810,ELOW,Elf Owl,"2, 2A",Chevêchette des saguaros,Micrathene whitneyi,,507,
3811,BHPA,Black-headed Parakeet,"4, 3A",Conure Nanday,Aratinga nenday,,620,"No butt-end bands, special parrot bands only."
3812,HPKT,Hispaniolan Parakeet,"3A, 3B",Conure maîtresse,Psittacara chloropterus,,623,"No butt-end bands, special parrot bands only."
3813,OFPA,Orange-fronted Parakeet,"3A, 3B",Conure à front rouge,Eupsittula canicularis,,621,"No butt-end bands, special parrot bands only."
3814,BTPA,Brown-throated Parakeet,"3, 2",Conure cuivrée,Eupsittula pertinax,,622,"No butt-end bands, special parrot bands only."
3815,BCLO,Blue-crowned Lorikeet,"2, 3",Lori fringillaire,Vini australis,,618,"No butt-end bands, special parrot bands only."
3821,TBPA,Thick-billed Parrot,"4A, 4",Conure à gros bec,Rhynchopsitta pachyrhyncha,Y,624,"No butt-end bands, special parrot bands only."
3824,MOPA,Monk Parakeet,4,Conure veuve,Myiopsitta monachus,,619,"No butt-end bands, special parrot bands only."
3825,CHCO,Cherry-head Conure,4A,Conure à tête rouge,Psittacara erythrogenys,,625,"No butt-end bands, special parrot bands only."
3826,RCPA,Red-crowned Parrot,"4A, 4",Amazone à joues vertes,Amazona viridigenalis,,628,"No butt-end bands, special parrot bands only."
3827,HPRT,Hispaniolan Parrot,6,Amazone d'Hispaniola,Amazona ventralis,,626,"No butt-end bands, special parrot bands only."
3828,PRPA,Puerto Rican Parrot,"4A, 4",Amazone de Porto Rico,Amazona vittata,Y,627,"No butt-end bands, special parrot bands only."
3829,OWAM,Orange-winged Amazon,"4A, 4",Amazona amazonica,Amazona amazonica,,629,"No butt-end bands, special parrot bands only."
3830,SBAN,Smooth-billed Ani,"3A, 4",Ani à bec lisse,Crotophaga ani,,493,
3840,GBAN,Groove-billed Ani,"3A, 3B, 3",Ani à bec cannelé,Crotophaga sulcirostris,,494,
3850,GRRO,Greater Roadrunner,5,Grand Géocoucou,Geococcyx californianus,,492,
3851,PRLC,Puerto Rican Lizard-Cuckoo,"3B, 3, 3A",Tacco de Porto Rico,Coccyzus vieilloti,,490,
3860,MACU,Mangrove Cuckoo,"2, 3, 3B",Coulicou manioc,Coccyzus minor,,488,
3870,YBCU,Yellow-billed Cuckoo,"2, 3",Coulicou à bec jaune,Coccyzus americanus,,486,
3871,WYBC,Western Yellow-billed Cuckoo,"2, 3",,Coccyzus americanus,Y,487,"Endangered western US populations (AZ, CA, CO, ID, MT, NV, NM, OR, TX, UT, WA, WY)."
3880,BBCU,Black-billed Cuckoo,"2, 3",Coulicou à bec noir,Coccyzus erythropthalmus,,489,
3890,ELTR,Elegant Trogon,"3, 2, 1D",Trogon élégant,Trogon elegans,,569,
3891,EAQU,Eared Quetzal,2,Quetzal oreillard,Euptilotis neoxenus,,570,
3900,BEKI,Belted Kingfisher,"3A, 3B, 3",Martin-pêcheur d'Amérique,Megaceryle alcyon,,577,
3901,RIKI,Ringed Kingfisher,4,Martin-pêcheur à ventre roux,Megaceryle torquata,,576,
3910,GKIN,Green Kingfisher,"1D, 1A, 2",Martin-pêcheur vert,Chloroceryle americana,,578,Size 2 needs to be filed to a shorter height; 1D may be best fit.
3912,PRTO,Puerto Rican Tody,"X, 0A, 0",Todier de Porto Rico,Todus mexicanus,,572,
3920,IBWO,Ivory-billed Woodpecker,4,Pic à bec ivoire,Campephilus principalis,Y,606,
3930,HAWO,Hairy Woodpecker,"1D, 2, 1A",Pic chevelu,Dryobates villosus,,595,
3940,DOWO,Downy Woodpecker,1B,Pic mineur,Dryobates pubescens,,594,
3950,RCWO,Red-cockaded Woodpecker,1A,Pic à face blanche,Dryobates borealis,Y,597,
3960,LBWO,Ladder-backed Woodpecker,"1A, 1B",Pic arlequin,Dryobates scalaris,,592,
3970,NUWO,Nuttall's Woodpecker,"1A, 1B",Pic de Nuttall,Dryobates nuttallii,,593,
3980,ARWO,Arizona Woodpecker,1A,Pic de Strickland,Dryobates arizonae,,596,
3990,WHWO,White-headed Woodpecker,"1D, 2, 1A",Pic à tête blanche,Picoides albolarvatus,British Columbia,598,
4000,BBWO,Black-backed Woodpecker,2,Pic à dos noir,Picoides arcticus,,600,
4010,ATTW,American Three-toed Woodpecker,2,Pic à dos rayé,Picoides dorsalis,,599,
4020,YBSA,Yellow-bellied Sapsucker,"1B, 1A",Pic maculé,Sphyrapicus varius,,588,
4021,RNSA,Red-naped Sapsucker,"1A, 1B",Pic à nuque rouge,Sphyrapicus nuchalis,,589,
4023,HYSA,Hybrid Sapsucker,"1A, 1B",Pic buveur de sève hybride,,,591,Report suspected parentage as a remark (e.g. Species1 x Species2).
4030,RBSA,Red-breasted Sapsucker,"1A, 1B, 1D",Pic à poitrine rouge,Sphyrapicus ruber,,590,
4040,WISA,Williamson's Sapsucker,1A,Pic de Williamson,Sphyrapicus thyroideus,British Columbia,587,
4050,PIWO,Pileated Woodpecker,"4, 3A",Grand Pic,Dryocopus pileatus,,605,
4060,RHWO,Red-headed Woodpecker,"2, 1D, 2A",Pic à tête rouge,Melanerpes erythrocephalus,Manitoba,581,
4060,RHWO,Red-headed Woodpecker,"2, 1D, 2A",Pic à tête rouge,Melanerpes erythrocephalus,Ontario,581,
4060,RHWO,Red-headed Woodpecker,"2, 1D, 2A",Pic à tête rouge,Melanerpes erythrocephalus,Québec,581,
4060,RHWO,Red-headed Woodpecker,"2, 1D, 2A",Pic à tête rouge,Melanerpes erythrocephalus,Saskatchewan,581,
4070,ACWO,Acorn Woodpecker,"2, 1D, 2A",Pic glandivore,Melanerpes formicivorus,,582,
4071,PRWO,Puerto Rican Woodpecker,"2, 1D, 2A",Pic de Porto Rico,Melanerpes portoricensis,,580,
4080,LEWO,Lewis's Woodpecker,"3, 2",Pic de Lewis,Melanerpes lewis,Y,579,
4090,RBWO,Red-bellied Woodpecker,2,Pic à ventre roux,Melanerpes carolinus,,585,
4092,WIWO,West Indian Woodpecker,"3, 2A, 2",Pic à sourcils noirs,Melanerpes superciliaris,,586,
4100,GFWO,Golden-fronted Woodpecker,2,Pic à front doré,Melanerpes aurifrons,,584,
4110,GIWO,Gila Woodpecker,"2, 3, 2A",Pic des saguaros,Melanerpes uropygialis,,583,
4120,YSFL,Yellow-shafted Flicker,"3, 3B",Pic doré,Colaptes auratus auratus,,601,
